Spark Command: /Library/Java/JavaVirtualMachines/adoptopenjdk-8.jdk/Contents/Home/bin/java -cp /Users/nathan/Repos/dsSparkMlPlayground/spark-2.3.0/conf/:/Users/nathan/Repos/dsSparkMlPlayground/spark-2.3.0/jars/* -Xmx1g org.apache.spark.deploy.SparkSubmit --class org.apache.spark.sql.hive.thriftserver.HiveThriftServer2 --name Thrift JDBC/ODBC Server spark-internal
========================================
2020-01-17 00:52:04 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2020-01-17 00:52:06 INFO  HiveThriftServer2:2608 - Started daemon with process name: 10566@Nathans-MBP.home
2020-01-17 00:52:06 INFO  SignalUtils:54 - Registered signal handler for TERM
2020-01-17 00:52:06 INFO  SignalUtils:54 - Registered signal handler for HUP
2020-01-17 00:52:06 INFO  SignalUtils:54 - Registered signal handler for INT
2020-01-17 00:52:06 INFO  HiveThriftServer2:54 - Starting SparkContext
2020-01-17 00:52:07 INFO  SparkContext:54 - Running Spark version 2.3.0
2020-01-17 00:52:07 INFO  SparkContext:54 - Submitted application: Thrift JDBC/ODBC Server
2020-01-17 00:52:08 INFO  SecurityManager:54 - Changing view acls to: nathan
2020-01-17 00:52:08 INFO  SecurityManager:54 - Changing modify acls to: nathan
2020-01-17 00:52:08 INFO  SecurityManager:54 - Changing view acls groups to: 
2020-01-17 00:52:08 INFO  SecurityManager:54 - Changing modify acls groups to: 
2020-01-17 00:52:08 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(nathan); groups with view permissions: Set(); users  with modify permissions: Set(nathan); groups with modify permissions: Set()
2020-01-17 00:52:09 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 59162.
2020-01-17 00:52:10 INFO  SparkEnv:54 - Registering MapOutputTracker
2020-01-17 00:52:10 INFO  SparkEnv:54 - Registering BlockManagerMaster
2020-01-17 00:52:10 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2020-01-17 00:52:10 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2020-01-17 00:52:10 INFO  DiskBlockManager:54 - Created local directory at /private/var/folders/mg/4h87x2h168s28_vfyf9_rjyw0000gn/T/blockmgr-d6ae861a-7f6f-42fa-ab3d-2262fb1ebcf3
2020-01-17 00:52:10 INFO  MemoryStore:54 - MemoryStore started with capacity 366.3 MB
2020-01-17 00:52:10 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2020-01-17 00:52:11 INFO  log:192 - Logging initialized @273115ms
2020-01-17 00:52:12 INFO  Server:346 - jetty-9.3.z-SNAPSHOT
2020-01-17 00:52:12 INFO  Server:414 - Started @273872ms
2020-01-17 00:52:12 INFO  AbstractConnector:278 - Started ServerConnector@25985559{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2020-01-17 00:52:12 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4c432866{/jobs,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@61019f59{/jobs/json,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@62e8f862{/jobs/job,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3c49fab6{/jobs/job/json,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@515f4131{/stages,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@74518890{/stages/json,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4c5204af{/stages/stage,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6c2d4cc6{/stages/stage/json,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@30865a90{/stages/pool,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6134ac4a{/stages/pool/json,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@777c9dc9{/storage,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@71b1a49c{/storage/json,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@73e132e0{/storage/rdd,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3773862a{/storage/rdd/json,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2472c7d8{/environment,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@589b028e{/environment/json,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@22175d4f{/executors,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@9fecdf1{/executors/json,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3b809711{/executors/threadDump,null,AVAILABLE,@Spark}
2020-01-17 00:52:12 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3b0f7d9d{/executors/threadDump/json,null,AVAILABLE,@Spark}
2020-01-17 00:52:13 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@236ab296{/static,null,AVAILABLE,@Spark}
2020-01-17 00:52:13 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6594402a{/,null,AVAILABLE,@Spark}
2020-01-17 00:52:13 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@30f4b1a6{/api,null,AVAILABLE,@Spark}
2020-01-17 00:52:13 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6c2f1700{/jobs/job/kill,null,AVAILABLE,@Spark}
2020-01-17 00:52:13 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@350b3a17{/stages/stage/kill,null,AVAILABLE,@Spark}
2020-01-17 00:52:13 INFO  SparkUI:54 - Bound SparkUI to 0.0.0.0, and started at http://nathans-mbp.home:4040
2020-01-17 00:52:14 INFO  Executor:54 - Starting executor ID driver on host localhost
2020-01-17 00:52:14 INFO  Utils:54 - Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 59166.
2020-01-17 00:52:14 INFO  NettyBlockTransferService:54 - Server created on nathans-mbp.home:59166
2020-01-17 00:52:14 INFO  BlockManager:54 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
